Date	Hr_End	DA_Demand	RT_Demand	DA_LMP	DA_EC	DA_CC	DA_MLC	RT_LMP	RT_EC	RT_CC	RT_MLC	Dry_Bulb	Dew_Point
1-Jan-17	01	996.30	1,106.31	34.77	34.86	0.00	-0.09	36.41	36.53	0.00	-0.12		
1-Jan-17	02	957.50	1,045.25	33.57	33.72	0.00	-0.15	36.82	37.02	0.00	-0.20		
1-Jan-17	03	926.60	1,002.24	32.25	32.40	0.00	-0.15	35.62	35.79	0.00	-0.17		
1-Jan-17	04	928.90	984.45	25.76	25.88	0.00	-0.12	33.86	34.04	0.00	-0.18		
1-Jan-17	05	939.20	986.39	29.53	29.65	0.00	-0.12	35.16	35.36	0.00	-0.20		
1-Jan-17	06	965.60	1,009.54	32.47	32.54	0.00	-0.07	34.13	34.31	0.00	-0.18		
1-Jan-17	07	986.30	1,054.72	32.37	32.45	0.00	-0.08	34.23	34.44	0.00	-0.21		
1-Jan-17	08	1,077.90	1,108.63	33.91	33.91	0.00	0.00	32.88	33.07	0.00	-0.19		
1-Jan-17	09	1,152.80	1,189.52	38.38	38.37	0.00	0.01	24.05	24.16	0.00	-0.11		
1-Jan-17	10	1,218.60	1,254.09	40.71	40.75	0.00	-0.04	25.88	26.01	0.00	-0.13		
1-Jan-17	11	1,239.60	1,291.49	33.58	33.53	0.00	0.05	16.94	17.01	0.00	-0.07		
1-Jan-17	12	1,236.40	1,298.38	33.44	33.41	0.00	0.03	24.28	24.36	0.00	-0.08		
1-Jan-17	13	1,230.40	1,301.27	33.47	33.42	0.00	0.05	28.03	28.13	0.00	-0.10		
1-Jan-17	14	1,242.20	1,283.74	34.15	34.11	0.00	0.04	28.82	28.93	0.00	-0.11		
1-Jan-17	15	1,237.00	1,274.37	33.41	33.41	0.00	0.00	21.16	21.30	0.00	-0.14		
1-Jan-17	16	1,269.60	1,291.86	33.63	33.56	0.00	0.07	28.41	28.59	0.00	-0.18		
1-Jan-17	17	1,410.90	1,419.06	39.71	39.47	0.00	0.24	32.70	32.80	0.00	-0.10		
1-Jan-17	18	1,498.60	1,533.46	63.92	63.38	0.00	0.54	42.58	42.63	0.00	-0.05		
1-Jan-17	19	1,444.50	1,517.23	53.29	52.93	0.00	0.36	44.80	44.83	0.00	-0.03		
1-Jan-17	20	1,409.80	1,469.06	50.24	49.88	0.00	0.36	38.25	38.26	0.00	-0.01		
1-Jan-17	21	1,354.30	1,411.38	46.95	46.66	0.00	0.29	36.94	36.93	0.00	0.01		
1-Jan-17	22	1,265.00	1,330.05	45.95	45.87	0.00	0.08	37.27	37.36	0.00	-0.09		
1-Jan-17	23	1,182.60	1,235.48	36.16	36.03	0.00	0.13	31.39	31.50	0.00	-0.11		
1-Jan-17	24	1,074.50	1,147.96	33.45	33.50	0.00	-0.05	-69.16	-69.45	0.00	0.29		
2-Jan-17	01	991.60	1,089.12	33.68	33.73	0.00	-0.05	19.14	19.28	0.00	-0.14		
2-Jan-17	02	946.50	1,058.51	33.65	33.71	0.00	-0.06	33.80	34.02	0.00	-0.22		
2-Jan-17	03	920.30	1,047.05	32.82	32.92	0.00	-0.10	29.54	29.72	0.00	-0.18		
2-Jan-17	04	920.80	1,051.72	32.69	32.76	0.00	-0.07	27.88	28.04	0.00	-0.16		
2-Jan-17	05	943.60	1,079.72	32.70	32.74	0.00	-0.04	30.92	31.06	0.00	-0.14		
2-Jan-17	06	987.30	1,141.84	33.64	33.61	0.00	0.03	34.48	34.57	0.00	-0.09		
2-Jan-17	07	1,057.90	1,233.80	33.63	33.65	0.00	-0.02	38.42	38.45	0.00	-0.03		
2-Jan-17	08	1,170.30	1,315.22	35.02	34.90	0.00	0.12	36.83	36.80	0.00	0.03		
2-Jan-17	09	1,249.80	1,397.30	42.86	42.60	0.00	0.26	39.86	39.75	0.00	0.11		
2-Jan-17	10	1,298.80	1,455.36	51.37	50.98	0.00	0.39	53.30	53.05	0.00	0.25		
2-Jan-17	11	1,303.00	1,471.09	44.01	43.61	0.00	0.40	51.62	51.31	0.00	0.31		
2-Jan-17	12	1,302.90	1,449.96	46.90	46.42	0.00	0.48	46.78	46.50	0.00	0.28		
