Date	Hr_End	DA_Demand	RT_Demand	DA_LMP	DA_EC	DA_CC	DA_MLC	RT_LMP	RT_EC	RT_CC	RT_MLC	Dry_Bulb	Dew_Point
1-Jan-17	01	721.10	752.17	35.27	34.86	0.00	0.41	36.91	36.53	0.00	0.38		
1-Jan-17	02	688.30	716.89	34.09	33.72	0.00	0.37	37.47	37.02	0.00	0.45		
1-Jan-17	03	667.80	692.00	32.74	32.40	0.00	0.34	36.19	35.79	0.00	0.40		
1-Jan-17	04	659.10	677.66	26.15	25.88	0.00	0.27	34.43	34.04	0.00	0.39		
1-Jan-17	05	662.90	673.28	29.95	29.65	0.00	0.30	35.76	35.36	0.00	0.40		
1-Jan-17	06	681.30	680.18	32.89	32.54	0.00	0.35	34.71	34.31	0.00	0.40		
1-Jan-17	07	661.40	703.51	32.76	32.45	0.00	0.31	34.85	34.44	0.00	0.41		
1-Jan-17	08	703.70	718.20	34.26	33.91	0.00	0.35	33.48	33.07	0.00	0.41		
1-Jan-17	09	765.00	751.49	38.76	38.37	0.00	0.39	24.47	24.16	0.00	0.31		
1-Jan-17	10	863.40	784.16	41.20	40.75	0.00	0.45	26.33	26.01	0.00	0.32		
1-Jan-17	11	888.10	811.95	33.92	33.53	0.00	0.39	17.20	17.01	0.00	0.19		
1-Jan-17	12	891.00	827.94	33.73	33.41	0.00	0.32	24.58	24.36	0.00	0.22		
1-Jan-17	13	892.00	839.95	33.73	33.42	0.00	0.31	28.42	28.13	0.00	0.29		
1-Jan-17	14	882.80	833.57	34.40	34.11	0.00	0.29	29.23	28.93	0.00	0.30		
1-Jan-17	15	875.80	823.34	33.72	33.41	0.00	0.31	21.54	21.30	0.00	0.24		
1-Jan-17	16	891.10	829.77	33.83	33.56	0.00	0.27	28.87	28.59	0.00	0.28		
1-Jan-17	17	957.70	904.71	39.43	39.47	0.00	-0.04	32.99	32.80	0.00	0.19		
1-Jan-17	18	1,009.00	978.10	63.15	63.38	0.00	-0.23	42.82	42.63	0.00	0.19		
1-Jan-17	19	1,014.10	977.13	52.71	52.93	0.00	-0.22	45.00	44.83	0.00	0.17		
1-Jan-17	20	1,003.00	960.17	49.67	49.88	0.00	-0.21	38.34	38.26	0.00	0.08		
1-Jan-17	21	966.30	932.68	46.55	46.66	0.00	-0.11	37.07	36.93	0.00	0.14		
1-Jan-17	22	907.40	892.81	46.06	45.87	0.00	0.19	37.69	37.36	0.00	0.33		
1-Jan-17	23	846.80	842.30	36.29	36.03	0.00	0.26	31.88	31.50	0.00	0.38		
1-Jan-17	24	774.30	780.23	33.89	33.50	0.00	0.39	-70.46	-69.45	0.00	-1.01		
2-Jan-17	01	730.30	738.49	34.07	33.73	0.00	0.34	19.55	19.28	0.00	0.27		
2-Jan-17	02	698.20	711.21	34.03	33.71	0.00	0.32	34.43	34.02	0.00	0.41		
2-Jan-17	03	683.10	697.80	33.25	32.92	0.00	0.33	30.06	29.72	0.00	0.34		
2-Jan-17	04	675.40	695.89	33.06	32.76	0.00	0.30	28.36	28.04	0.00	0.32		
2-Jan-17	05	685.80	712.41	33.02	32.74	0.00	0.28	31.41	31.06	0.00	0.35		
2-Jan-17	06	721.40	732.75	33.91	33.61	0.00	0.30	34.95	34.57	0.00	0.38		
2-Jan-17	07	756.70	773.18	33.97	33.65	0.00	0.32	38.81	38.45	0.00	0.36		
2-Jan-17	08	815.80	798.76	34.91	34.90	0.00	0.01	36.99	36.80	0.00	0.19		
2-Jan-17	09	853.00	846.24	42.44	42.60	0.00	-0.16	39.76	39.75	0.00	0.01		
2-Jan-17	10	882.40	897.78	50.58	50.98	0.00	-0.40	52.84	53.05	0.00	-0.21		
2-Jan-17	11	903.00	936.76	43.34	43.61	0.00	-0.27	51.07	51.31	0.00	-0.24		
2-Jan-17	12	909.50	951.75	46.06	46.42	0.00	-0.36	46.28	46.50	0.00	-0.22		
2-Jan-17	13	903.50	958.53	43.25	43.54	0.00	-0.29	46.74	46.94	0.00	-0.20		
2-Jan-17	14	897.20	952.32	45.44	45.77	0.00	-0.33	50.87	51.08	0.00	-0.21		
2-Jan-17	15	889.40	945.17	43.18	43.49	0.00	-0.31	40.26	40.39	0.00	-0.13		
2-Jan-17	16	902.30	959.25	49.22	49.58	0.00	-0.36	43.75	43.98	0.00	-0.23		
2-Jan-17	17	986.60	1,028.59	56.73	57.62	0.00	-0.89	51.87	52.37	0.00	-0.50		
2-Jan-17	18	1,047.60	1,075.24	70.66	71.69	0.00	-1.03	73.74	74.55	0.00	-0.81		
2-Jan-17	19	1,028.30	1,063.28	65.03	65.95	0.00	-0.92	58.97	59.57	0.00	-0.60		
2-Jan-17	20	1,010.70	1,025.76	61.73	62.65	0.00	-0.92	58.02	58.68	0.00	-0.66		
2-Jan-17	21	971.50	979.60	51.26	51.85	0.00	-0.59	43.68	44.10	0.00	-0.42		
2-Jan-17	22	912.70	913.40	42.90	43.13	0.00	-0.23	38.36	38.46	0.00	-0.10		
2-Jan-17	23	832.30	831.19	41.25	41.44	0.00	-0.19	33.83	33.82	0.00	0.01		
2-Jan-17	24	756.10	753.84	34.01	33.71	0.00	0.30	29.71	29.51	0.00	0.20		
3-Jan-17	01	726.40	712.13	35.76	35.44	0.00	0.32	31.43	31.11	0.00	0.32		
3-Jan-17	02	699.60	683.10	34.02	33.72	0.00	0.30	16.02	15.87	0.00	0.15		
3-Jan-17	03	680.00	669.01	33.76	33.48	0.00	0.28	22.59	22.39	0.00	0.20		
3-Jan-17	04	673.80	669.49	33.72	33.45	0.00	0.27	33.44	32.91	0.24	0.29		
3-Jan-17	05	689.70	696.65	34.10	33.81	0.00	0.29	34.79	34.23	0.25	0.31		
3-Jan-17	06	750.50	749.69	36.76	36.52	0.00	0.24	30.49	30.04	0.23	0.22		
3-Jan-17	07	896.30	857.44	39.85	40.03	0.00	-0.18	37.96	38.01	0.07	-0.12		
3-Jan-17	08	932.10	925.80	44.18	44.78	0.00	-0.60	67.03	67.44	0.01	-0.42		
3-Jan-17	09	960.30	953.38	43.27	43.68	0.00	-0.41	44.18	44.11	0.12	-0.05		
3-Jan-17	10	1,029.60	977.38	57.58	58.26	0.00	-0.68	43.29	43.13	0.16	0.00		
3-Jan-17	11	1,059.00	996.09	44.81	45.27	0.00	-0.46	41.79	41.78	0.02	-0.01		
3-Jan-17	12	1,052.10	1,004.06	44.51	44.94	0.00	-0.43	43.63	43.65	0.00	-0.02		
3-Jan-17	13	1,007.80	1,005.48	43.00	43.35	0.00	-0.35	42.67	42.72	0.00	-0.05		
3-Jan-17	14	986.80	1,005.01	42.17	42.52	0.00	-0.35	42.19	42.28	0.00	-0.09		
3-Jan-17	15	976.70	1,002.52	40.68	40.97	0.00	-0.29	41.97	42.19	0.00	-0.22		
3-Jan-17	16	991.10	1,016.07	42.12	42.47	0.00	-0.35	43.14	43.49	0.00	-0.35		
3-Jan-17	17	1,037.00	1,067.68	46.06	46.65	0.00	-0.59	52.66	53.15	0.00	-0.49		
3-Jan-17	18	1,080.50	1,102.47	72.49	73.38	0.00	-0.89	47.66	48.09	0.00	-0.43		
3-Jan-17	19	1,076.50	1,086.96	49.12	49.68	0.00	-0.56	54.80	55.31	0.00	-0.51		
3-Jan-17	20	1,051.10	1,051.76	42.90	43.39	0.00	-0.49	44.16	44.55	0.00	-0.39		
3-Jan-17	21	1,008.40	998.10	39.49	39.62	0.00	-0.13	39.28	39.48	0.00	-0.20		
3-Jan-17	22	940.00	928.66	35.14	34.86	0.00	0.28	36.91	36.73	0.00	0.18		
3-Jan-17	23	845.60	848.29	33.01	32.73	0.00	0.28	32.72	32.40	0.00	0.32		
3-Jan-17	24	744.40	767.55	32.09	31.85	0.00	0.24	32.52	32.26	0.00	0.26		
4-Jan-17	01	663.00	713.67	29.54	29.40	0.00	0.14	28.79	28.59	0.00	0.20		
4-Jan-17	02	646.80	681.96	19.50	19.41	0.00	0.09	32.36	32.20	0.00	0.16		
4-Jan-17	03	630.40	667.59	14.13	14.07	0.00	0.06	28.22	28.08	0.00	0.14		
4-Jan-17	04	624.70	664.69	14.12	14.07	0.00	0.05	29.28	29.13	0.00	0.15		
4-Jan-17	05	673.10	688.45	29.58	29.44	0.00	0.14	29.94	29.81	0.00	0.13		
4-Jan-17	06	728.20	742.76	32.06	31.91	0.00	0.15	30.13	30.03	0.00	0.10		
4-Jan-17	07	865.70	849.16	37.24	37.32	0.00	-0.08	31.20	31.27	0.00	-0.07		
4-Jan-17	08	951.80	912.78	41.20	41.46	0.00	-0.26	42.78	42.97	0.00	-0.19		
4-Jan-17	09	968.10	936.71	38.24	38.29	0.00	-0.05	42.07	42.22	0.00	-0.15		
4-Jan-17	10	969.70	954.00	38.67	38.80	0.00	-0.13	38.87	39.00	0.00	-0.13		
4-Jan-17	11	979.80	956.74	40.54	40.74	0.00	-0.20	39.18	39.29	0.00	-0.11		
4-Jan-17	12	940.70	964.56	37.04	37.18	0.00	-0.14	37.33	37.43	0.00	-0.10		
4-Jan-17	13	930.60	959.61	34.02	34.10	0.00	-0.08	36.89	37.02	0.00	-0.13		
4-Jan-17	14	929.30	953.81	33.49	33.55	0.00	-0.06	36.40	36.47	0.00	-0.07		
4-Jan-17	15	940.80	944.39	33.51	33.55	0.00	-0.04	35.65	35.66	0.00	-0.01		
4-Jan-17	16	956.70	955.31	36.85	36.95	0.00	-0.10	34.87	34.94	0.00	-0.07		
4-Jan-17	17	1,020.00	1,008.92	40.44	40.90	0.00	-0.46	38.94	39.19	0.00	-0.25		
4-Jan-17	18	1,100.20	1,069.95	49.02	49.58	0.00	-0.56	60.49	61.01	0.00	-0.52		
4-Jan-17	19	1,073.00	1,061.15	40.46	40.82	0.00	-0.36	45.24	45.63	0.00	-0.39		
4-Jan-17	20	1,050.80	1,037.51	40.97	41.33	0.00	-0.36	44.99	45.43	0.00	-0.44		
4-Jan-17	21	1,022.20	998.41	38.88	39.28	0.00	-0.40	38.34	38.57	0.07	-0.30		
4-Jan-17	22	959.50	937.06	37.98	38.02	0.00	-0.04	34.66	34.75	0.02	-0.11		
4-Jan-17	23	859.40	856.50	37.00	36.75	0.00	0.25	35.20	35.03	0.00	0.17		
4-Jan-17	24	762.80	790.86	33.60	33.43	0.00	0.17	39.15	38.94	0.00	0.21		
5-Jan-17	01	753.10	741.21	34.11	33.88	0.00	0.23	32.40	32.18	0.00	0.22		
5-Jan-17	02	764.80	717.22	33.89	33.61	0.00	0.28	16.40	16.29	0.00	0.11		
5-Jan-17	03	745.70	710.22	30.83	30.57	0.02	0.24	-15.08	-14.99	0.01	-0.10		
5-Jan-17	04	748.10	713.38	29.39	29.15	0.02	0.22	-11.24	-11.21	0.04	-0.07		
5-Jan-17	05	759.90	736.47	33.64	33.37	0.00	0.27	13.81	13.66	0.04	0.11		
5-Jan-17	06	813.90	798.97	36.91	36.66	0.00	0.25	16.60	16.44	0.02	0.14		
5-Jan-17	07	960.50	912.81	41.68	41.39	0.00	0.29	36.51	36.21	0.00	0.30		
5-Jan-17	08	1,019.40	979.34	46.35	45.93	0.01	0.41	47.57	47.14	0.00	0.43		
5-Jan-17	09	1,028.10	996.97	45.70	45.30	0.01	0.39	41.48	41.07	0.00	0.41		
5-Jan-17	10	1,013.10	1,004.17	43.40	43.04	0.01	0.35	39.33	38.96	0.00	0.37		
5-Jan-17	11	996.40	1,015.55	54.22	53.85	0.01	0.36	48.69	48.25	0.02	0.42		
5-Jan-17	12	983.50	1,012.37	52.51	52.16	0.01	0.34	48.14	47.63	0.05	0.46		
5-Jan-17	13	983.60	1,008.12	52.24	51.82	0.01	0.41	46.31	45.84	0.00	0.47		
5-Jan-17	14	969.10	1,012.66	51.96	51.56	0.01	0.39	44.74	44.24	0.00	0.50		
5-Jan-17	15	926.80	1,003.92	50.33	49.98	0.01	0.34	43.53	43.06	0.00	0.47		
5-Jan-17	16	949.10	1,016.11	52.35	51.97	0.01	0.37	45.99	45.52	0.00	0.47		
5-Jan-17	17	1,067.60	1,068.12	64.12	64.09	0.01	0.02	46.78	46.44	0.00	0.34		
5-Jan-17	18	1,122.70	1,137.15	77.23	77.27	0.00	-0.04	54.34	54.02	0.00	0.32		
5-Jan-17	19	1,115.30	1,130.33	72.88	72.98	0.00	-0.10	57.82	57.51	0.00	0.31		
5-Jan-17	20	1,120.50	1,107.27	66.54	66.62	0.00	-0.08	55.86	55.54	0.00	0.32		
5-Jan-17	21	1,093.10	1,066.45	62.27	62.27	0.00	0.00	48.56	48.30	0.00	0.26		
5-Jan-17	22	1,033.50	1,000.43	54.22	54.10	0.00	0.12	45.56	45.35	0.00	0.21		
5-Jan-17	23	908.80	908.90	52.69	52.40	0.00	0.29	27.34	27.13	0.00	0.21		
5-Jan-17	24	772.40	834.35	52.52	52.37	0.00	0.15	39.88	39.61	0.00	0.27		
6-Jan-17	01	768.30	781.82	43.01	42.51	0.00	0.50	40.09	39.78	0.00	0.31		
6-Jan-17	02	748.10	758.49	43.45	42.98	0.00	0.47	31.03	30.73	0.00	0.30		
6-Jan-17	03	747.00	743.85	38.39	37.98	0.00	0.41	36.92	36.59	0.00	0.33		
6-Jan-17	04	747.70	742.96	37.70	37.29	0.00	0.41	40.58	40.20	0.00	0.38		
6-Jan-17	05	771.60	769.71	44.41	43.93	0.00	0.48	40.70	40.33	0.00	0.37		
6-Jan-17	06	777.90	822.98	45.80	45.32	0.00	0.48	33.99	33.74	0.00	0.25		
