Date	Hr_End	DA_Demand	RT_Demand	DA_LMP	DA_EC	DA_CC	DA_MLC	RT_LMP	RT_EC	RT_CC	RT_MLC	Dry_Bulb	Dew_Point
1-Jan-17	01	1,804.10	1,609.99	35.14	34.86	0.00	0.28	36.77	36.53	0.00	0.24		
1-Jan-17	02	1,873.10	1,549.94	34.03	33.72	0.00	0.31	37.25	37.02	0.00	0.23		
1-Jan-17	03	2,204.20	1,502.46	32.69	32.40	0.00	0.29	36.02	35.79	0.00	0.23		
1-Jan-17	04	2,261.90	1,470.35	26.12	25.88	0.00	0.24	34.29	34.04	0.00	0.25		
1-Jan-17	05	2,197.50	1,463.58	29.90	29.65	0.00	0.25	35.63	35.36	0.00	0.27		
1-Jan-17	06	2,240.30	1,486.21	32.79	32.54	0.00	0.25	34.57	34.31	0.00	0.26		
1-Jan-17	07	2,308.50	1,536.21	32.67	32.45	0.00	0.22	34.72	34.44	0.00	0.28		
1-Jan-17	08	1,996.10	1,574.02	34.12	33.91	0.00	0.21	33.33	33.07	0.00	0.26		
1-Jan-17	09	1,735.70	1,624.93	38.51	38.37	0.00	0.14	24.31	24.16	0.00	0.15		
1-Jan-17	10	1,813.20	1,667.70	40.89	40.75	0.00	0.14	26.15	26.01	0.00	0.14		
1-Jan-17	11	1,834.50	1,690.90	33.63	33.53	0.00	0.10	17.09	17.01	0.00	0.08		
1-Jan-17	12	1,830.90	1,707.14	33.53	33.41	0.00	0.12	24.47	24.36	0.00	0.11		
1-Jan-17	13	1,823.90	1,714.03	33.56	33.42	0.00	0.14	28.27	28.13	0.00	0.14		
1-Jan-17	14	1,800.50	1,705.66	34.24	34.11	0.00	0.13	29.08	28.93	0.00	0.15		
1-Jan-17	15	1,810.60	1,722.13	33.56	33.41	0.00	0.15	21.42	21.30	0.00	0.12		
1-Jan-17	16	1,860.20	1,769.98	33.65	33.56	0.00	0.09	28.77	28.59	0.00	0.18		
1-Jan-17	17	2,027.60	1,929.69	39.56	39.47	0.00	0.09	33.00	32.80	0.00	0.20		
1-Jan-17	18	2,144.00	2,079.44	63.59	63.38	0.00	0.21	42.85	42.63	0.00	0.22		
1-Jan-17	19	2,141.40	2,069.04	53.00	52.93	0.00	0.07	45.04	44.83	0.00	0.21		
1-Jan-17	20	2,103.00	2,029.27	49.98	49.88	0.00	0.10	38.46	38.26	0.00	0.20		
1-Jan-17	21	2,011.60	1,977.45	46.80	46.66	0.00	0.14	37.15	36.93	0.00	0.22		
1-Jan-17	22	1,902.60	1,896.39	46.12	45.87	0.00	0.25	37.59	37.36	0.00	0.23		
1-Jan-17	23	1,776.60	1,786.86	36.24	36.03	0.00	0.21	31.70	31.50	0.00	0.20		
1-Jan-17	24	1,645.70	1,676.83	33.68	33.50	0.00	0.18	-69.94	-69.45	0.00	-0.49		
2-Jan-17	01	1,837.70	1,605.16	34.02	33.73	0.00	0.29	19.46	19.28	0.00	0.18		
2-Jan-17	02	2,024.20	1,553.95	34.02	33.71	0.00	0.31	34.32	34.02	0.00	0.30		
2-Jan-17	03	2,249.80	1,532.63	33.23	32.92	0.00	0.31	29.98	29.72	0.00	0.26		
2-Jan-17	04	2,271.50	1,536.40	33.05	32.76	0.00	0.29	28.28	28.04	0.00	0.24		
2-Jan-17	05	2,015.20	1,565.22	33.02	32.74	0.00	0.28	31.30	31.06	0.00	0.24		
2-Jan-17	06	1,838.60	1,636.59	33.82	33.61	0.00	0.21	34.81	34.57	0.00	0.24		
2-Jan-17	07	1,712.60	1,735.66	33.81	33.65	0.00	0.16	38.67	38.45	0.00	0.22		
2-Jan-17	08	1,813.60	1,816.30	35.03	34.90	0.00	0.13	36.98	36.80	0.00	0.18		
2-Jan-17	09	1,886.50	1,899.12	42.71	42.60	0.00	0.11	39.93	39.75	0.00	0.18		
2-Jan-17	10	1,927.70	1,976.69	51.10	50.98	0.00	0.12	53.28	53.05	0.00	0.23		
2-Jan-17	11	1,948.40	2,011.22	43.73	43.61	0.00	0.12	51.51	51.31	0.00	0.20		
2-Jan-17	12	1,925.70	2,025.05	46.56	46.42	0.00	0.14	46.69	46.50	0.00	0.19		
2-Jan-17	13	1,923.30	2,026.65	43.68	43.54	0.00	0.14	47.20	46.94	0.00	0.26		
2-Jan-17	14	1,894.60	2,037.37	45.93	45.77	0.00	0.16	51.41	51.08	0.00	0.33		
2-Jan-17	15	1,908.40	2,030.40	43.64	43.49	0.00	0.15	40.67	40.39	0.00	0.28		
2-Jan-17	16	1,953.70	2,055.47	49.76	49.58	0.00	0.18	44.28	43.98	0.00	0.30		
2-Jan-17	17	2,119.30	2,196.77	57.78	57.62	0.00	0.16	52.70	52.37	0.00	0.33		
2-Jan-17	18	2,242.30	2,315.70	71.81	71.69	0.00	0.12	74.93	74.55	0.00	0.38		
2-Jan-17	19	2,215.00	2,275.10	66.04	65.95	0.00	0.09	59.87	59.57	0.00	0.30		
2-Jan-17	20	2,162.80	2,206.07	62.75	62.65	0.00	0.10	58.98	58.68	0.00	0.30		
2-Jan-17	21	2,051.40	2,111.65	52.01	51.85	0.00	0.16	44.34	44.10	0.00	0.24		
2-Jan-17	22	1,939.70	1,976.76	43.32	43.13	0.00	0.19	38.66	38.46	0.00	0.20		
2-Jan-17	23	1,794.70	1,807.50	41.62	41.44	0.00	0.18	33.99	33.82	0.00	0.17		
2-Jan-17	24	1,649.70	1,663.13	33.87	33.71	0.00	0.16	29.67	29.51	0.00	0.16		
3-Jan-17	01	1,846.80	1,564.95	35.67	35.44	0.00	0.23	31.31	31.11	0.00	0.20		
3-Jan-17	02	2,171.20	1,490.77	33.97	33.72	0.00	0.25	16.00	15.87	0.00	0.13		
3-Jan-17	03	2,506.80	1,463.08	33.74	33.48	0.00	0.26	22.57	22.39	0.00	0.18		
3-Jan-17	04	2,499.70	1,466.28	33.71	33.45	0.00	0.26	33.41	32.91	0.24	0.26		
3-Jan-17	05	2,112.00	1,525.71	34.03	33.81	0.00	0.22	34.74	34.23	0.25	0.26		
3-Jan-17	06	1,682.80	1,683.98	36.68	36.52	0.00	0.16	30.47	30.04	0.23	0.20		
3-Jan-17	07	1,944.00	1,936.67	40.19	40.03	0.00	0.16	38.32	38.01	0.07	0.24		
3-Jan-17	08	2,061.10	2,086.29	44.99	44.78	0.00	0.21	67.83	67.44	0.01	0.38		
3-Jan-17	09	2,100.10	2,130.22	43.82	43.68	0.00	0.14	44.51	44.11	0.12	0.28		
3-Jan-17	10	2,184.20	2,156.38	58.50	58.26	0.00	0.24	43.59	43.13	0.16	0.30		
